Area,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,N_kg/ha,pesticide_load,continent
Algeria,2004,31729,89.0,3747.86,17.38,12.62,low,Africa
Algeria,2005,33864,89.0,3662.87,17.19,0.49,low,Africa
Algeria,2006,65668,89.0,4110.72,18.13,5.23,low,Africa
Algeria,2007,85625,89.0,5390.79,17.42,4.37,medium,Africa
Algeria,2008,44714,89.0,11556.12,17.55,2.75,medium,Africa
Algeria,2009,30914,89.0,3867.99,17.78,4.42,low,Africa
Algeria,2010,25827,89.0,1295.88,17.59,7.15,low,Africa
Algeria,2011,23374,89.0,13861.76,17.79,6.69,medium,Africa
Algeria,2012,25583,89.0,17379.76,17.91,8.61,medium,Africa
Algeria,2013,33649,89.0,17278.65,17.65,7.59,medium,Africa
Angola,1990,2736,1010.0,64.0,24.12,0.81,low,Africa
Angola,1991,4013,1010.0,79.0,24.02,0.73,low,Africa
Angola,1992,3778,1010.0,23.0,23.96,0.97,low,Africa
Angola,1993,2627,1010.0,169.0,24.15,0.63,low,Africa
Angola,1994,2463,1010.0,25.5,24.04,0.63,low,Africa
Angola,1995,3517,1010.0,336.0,24.56,0.63,low,Africa
Angola,1996,6993,1010.0,40.0,24.11,0.63,low,Africa
Angola,1997,5959,1010.0,40.0,24.06,0.63,low,Africa
Angola,1998,7396,1010.0,40.0,24.96,0.72,low,Africa
Angola,1999,6361,1010.0,40.0,24.37,0.72,low,Africa
Angola,2000,5745,1010.0,40.0,24.41,0.44,low,Africa
Angola,2002,6706,1010.0,40.0,24.79,0.84,low,Africa
Angola,2004,5404,1010.0,40.0,24.22,2.05,low,Africa
Angola,2005,6736,1010.0,40.0,24.41,1.05,low,Africa
Angola,2006,4687,1010.0,40.0,24.14,1.9,low,Africa
Angola,2007,5091,1010.0,40.0,24.24,1.55,low,Africa
Angola,2008,7946,1010.0,40.0,24.27,2.27,low,Africa
Angola,2009,6614,1010.0,40.0,24.33,2.47,low,Africa
Angola,2010,7200,1010.0,40.0,24.44,3.92,low,Africa
Angola,2011,7376,1010.0,40.0,24.15,3.32,low,Africa
Angola,2012,7770,1010.0,40.0,24.24,3.92,low,Africa
Angola,2013,9467,1010.0,40.0,24.55,3.98,low,Africa
Argentina,1990,34608,591.0,26156.0,17.46,3.67,medium,America
Argentina,1990,34608,591.0,26156.0,17.67,3.67,medium,America
Argentina,1991,40444,591.0,26156.0,17.64,3.45,medium,America
Argentina,1991,40444,591.0,26156.0,17.86,3.45,medium,America
Argentina,1992,45237,591.0,26156.0,17.09,5.27,medium,America
Argentina,1992,45237,591.0,26156.0,17.51,5.27,medium,America
Argentina,1993,43552,591.0,26156.0,17.32,6.01,medium,America
Argentina,1993,43552,591.0,26156.0,17.53,6.01,medium,America
Argentina,1994,42371,591.0,30195.0,18.17,10.06,medium,America
Argentina,1994,42371,591.0,30195.0,18.31,10.06,medium,America
Argentina,1995,45223,591.0,37842.0,17.74,11.34,medium,America
Argentina,1995,45223,591.0,37842.0,17.62,11.34,medium,America
Argentina,1996,40397,591.0,54595.0,17.64,18.08,high,America
Argentina,1996,40397,591.0,54595.0,17.97,18.08,high,America
Argentina,1997,45557,591.0,77691.0,18.29,16.81,high,America
Argentina,1997,45557,591.0,77691.0,18.54,16.81,high,America
Argentina,1998,60780,591.0,62397.0,17.23,14.86,high,America
Argentina,1998,60780,591.0,62397.0,17.52,14.86,high,America
Argentina,1999,53702,591.0,62831.39,17.15,16.03,high,America
Argentina,1999,53702,591.0,62831.39,17.71,16.03,high,America
Argentina,2000,54329,591.0,63265.78,16.98,17.4,high,America
Argentina,2000,54329,591.0,63265.78,17.66,17.4,high,America
Argentina,2001,54553,591.0,63700.17,17.71,17.27,high,America
Argentina,2001,54553,591.0,63700.17,18.42,17.27,high,America
Argentina,2002,60791,591.0,64134.56,17.58,18.52,high,America
Argentina,2002,60791,591.0,64134.56,18.07,18.52,high,America
Argentina,2004,63931,591.0,65003.34,17.67,24.29,high,America
Argentina,2004,63931,591.0,65003.34,18.11,24.29,high,America
Argentina,2005,73587,591.0,65437.73,17.32,18.41,high,America
Argentina,2005,73587,591.0,65437.73,17.83,18.41,high,America
Argentina,2006,59030,591.0,65872.12,18.1,21.53,high,America
Argentina,2006,59030,591.0,65872.12,18.35,21.53,high,America
Argentina,2007,76655,591.0,81582.64,16.71,25.84,high,America
Argentina,2007,76655,591.0,81582.64,17.14,25.84,high,America
Argentina,2008,64525,591.0,87149.01,17.71,20.8,high,America
Argentina,2008,64525,591.0,87149.01,18.39,20.8,high,America
Argentina,2009,55760,591.0,61586.56,18.16,13.44,high,America
Argentina,2009,55760,591.0,61586.56,18.09,13.44,high,America
Argentina,2010,78040,591.0,105915.04,17.33,19.77,high,America
Argentina,2010,78040,591.0,105915.04,17.84,19.77,high,America
Argentina,2011,63503,591.0,100424.62,17.58,21.63,high,America
Argentina,2011,63503,591.0,100424.62,17.93,21.63,high,America
Argentina,2012,57346,591.0,136185.08,18.18,18.09,high,America
Argentina,2012,57346,591.0,136185.08,18.43,18.09,high,America
Argentina,2013,66037,591.0,171945.54,16.45,19.51,high,America
Argentina,2013,66037,591.0,171945.54,16.88,19.51,high,America
Armenia,1992,32344,562.0,8.0,7.44,31.06,low,Asia
Armenia,1993,32261,562.0,8.0,7.69,30.43,low,Asia
Armenia,1994,32667,562.0,23.0,8.84,14.0,low,Asia
Armenia,1995,18261,562.0,23.9,9.76,14.17,low,Asia
Armenia,1996,22239,562.0,32.0,9.55,15.81,low,Asia
Armenia,1997,45548,562.0,41.46,9.1,16.06,low,Asia
Armenia,1998,26082,562.0,50.92,10.28,19.51,low,Asia
Armenia,1999,40303,562.0,60.38,10.11,12.62,low,Asia
Armenia,2000,23178,562.0,69.85,9.68,14.34,low,Asia
Armenia,2001,37913,562.0,79.31,10.18,10.14,low,Asia
Armenia,2002,37380,562.0,88.77,9.41,31.98,low,Asia
Armenia,2004,61791,562.0,204.77,9.55,26.11,low,Asia
Armenia,2005,44692,562.0,220.51,9.58,20.3,low,Asia
Armenia,2006,33271,562.0,227.55,9.89,114.9,low,Asia
Armenia,2007,53262,562.0,241.71,9.44,52.97,low,Asia
Armenia,2008,53424,562.0,218.2,9.51,48.24,low,Asia
Armenia,2009,57763,562.0,198.36,9.67,78.71,low,Asia
Armenia,2010,46724,562.0,278.72,11.31,58.75,low,Asia
Armenia,2011,54257,562.0,278.72,8.93,71.52,low,Asia
Armenia,2012,62215,562.0,278.72,10.2,113.73,low,Asia
Armenia,2013,67114,562.0,278.72,11.08,115.82,low,Asia
Australia,1990,41821,534.0,17866.0,16.8,23.08,medium,Oceania
Australia,1990,41821,534.0,17866.0,20.06,23.08,medium,Oceania
Australia,1990,41821,534.0,17866.0,12.11,23.08,medium,Oceania
Australia,1990,41821,534.0,17866.0,14.16,23.08,medium,Oceania
Australia,1990,41821,534.0,17866.0,18.05,23.08,medium,Oceania
Australia,1990,41821,534.0,17866.0,17.47,23.08,medium,Oceania
Australia,1991,39938,534.0,17866.0,16.78,23.94,medium,Oceania
Australia,1991,39938,534.0,17866.0,20.29,23.94,medium,Oceania
Australia,1991,39938,534.0,17866.0,12.22,23.94,medium,Oceania
Australia,1991,39938,534.0,17866.0,13.77,23.94,medium,Oceania
Australia,1991,39938,534.0,17866.0,18.73,23.94,medium,Oceania
Australia,1991,39938,534.0,17866.0,17.85,23.94,medium,Oceania
Australia,1992,51721,534.0,22234.0,15.78,26.78,medium,Oceania
Australia,1992,51721,534.0,22234.0,19.79,26.78,medium,Oceania
Australia,1992,51721,534.0,22234.0,11.21,26.78,medium,Oceania
Australia,1992,51721,534.0,22234.0,13.31,26.78,medium,Oceania
Australia,1992,51721,534.0,22234.0,18.45,26.78,medium,Oceania
Australia,1992,51721,534.0,22234.0,16.89,26.78,medium,Oceania
Australia,1993,44261,534.0,23899.0,16.71,29.42,medium,Oceania
Australia,1993,44261,534.0,23899.0,20.19,29.42,medium,Oceania
Australia,1993,44261,534.0,23899.0,11.84,29.42,medium,Oceania
Australia,1993,44261,534.0,23899.0,13.81,29.42,medium,Oceania
Australia,1993,44261,534.0,23899.0,18.03,29.42,medium,Oceania
Australia,1993,44261,534.0,23899.0,17.42,29.42,medium,Oceania
Australia,1994,46620,534.0,21057.0,16.43,29.09,medium,Oceania
Australia,1994,46620,534.0,21057.0,19.59,29.09,medium,Oceania
Australia,1994,46620,534.0,21057.0,11.6,29.09,medium,Oceania
Australia,1994,46620,534.0,21057.0,13.52,29.09,medium,Oceania
Australia,1994,46620,534.0,21057.0,19.17,29.09,medium,Oceania
Australia,1994,46620,534.0,21057.0,17.36,29.09,medium,Oceania
Australia,1995,48263,534.0,25598.0,16.14,35.46,medium,Oceania
Australia,1995,48263,534.0,25598.0,20.12,35.46,medium,Oceania
Australia,1995,48263,534.0,25598.0,11.39,35.46,medium,Oceania
Australia,1995,48263,534.0,25598.0,13.14,35.46,medium,Oceania
Australia,1995,48263,534.0,25598.0,18.88,35.46,medium,Oceania
Australia,1995,48263,534.0,25598.0,16.95,35.46,medium,Oceania
Australia,1996,57689,534.0,31185.0,16.12,38.24,medium,Oceania
Australia,1996,57689,534.0,31185.0,20.06,38.24,medium,Oceania
Australia,1996,57689,534.0,31185.0,11.29,38.24,medium,Oceania
Australia,1996,57689,534.0,31185.0,13.05,38.24,medium,Oceania
Australia,1996,57689,534.0,31185.0,19.13,38.24,medium,Oceania
Australia,1996,57689,534.0,31185.0,17.05,38.24,medium,Oceania
Australia,1997,59403,534.0,34091.0,16.48,35.75,medium,Oceania
Australia,1997,59403,534.0,34091.0,20.16,35.75,medium,Oceania
Australia,1997,59403,534.0,34091.0,12.13,35.75,medium,Oceania
Australia,1997,59403,534.0,34091.0,13.93,35.75,medium,Oceania
Australia,1997,59403,534.0,34091.0,18.94,35.75,medium,Oceania
Australia,1997,59403,534.0,34091.0,17.51,35.75,medium,Oceania
Australia,1998,47544,534.0,37215.0,16.28,40.8,medium,Oceania
Australia,1998,47544,534.0,37215.0,20.62,40.8,medium,Oceania
Australia,1998,47544,534.0,37215.0,12.46,40.8,medium,Oceania
Australia,1998,47544,534.0,37215.0,13.61,40.8,medium,Oceania
Australia,1998,47544,534.0,37215.0,18.9,40.8,medium,Oceania
Australia,1998,47544,534.0,37215.0,18.05,40.8,medium,Oceania
Australia,1999,51212,534.0,34200.0,16.77,41.86,medium,Oceania
Australia,1999,51212,534.0,34200.0,19.75,41.86,medium,Oceania
Australia,1999,51212,534.0,34200.0,12.1,41.86,medium,Oceania
Australia,1999,51212,534.0,34200.0,14.2,41.86,medium,Oceania
Australia,1999,51212,534.0,34200.0,19.28,41.86,medium,Oceania
Australia,1999,51212,534.0,34200.0,17.55,41.86,medium,Oceania
Australia,2000,49360,534.0,33475.0,17.08,36.01,medium,Oceania
Australia,2000,49360,534.0,33475.0,19.89,36.01,medium,Oceania
Australia,2000,49360,534.0,33475.0,12.09,36.01,medium,Oceania
Australia,2000,49360,534.0,33475.0,14.32,36.01,medium,Oceania
Australia,2000,49360,534.0,33475.0,19.07,36.01,medium,Oceania
Australia,2000,49360,534.0,33475.0,17.57,36.01,medium,Oceania
Australia,2001,46471,534.0,32710.0,16.63,37.95,medium,Oceania
Australia,2001,46471,534.0,32710.0,20.21,37.95,medium,Oceania
Australia,2001,46471,534.0,32710.0,12.29,37.95,medium,Oceania
Australia,2001,46471,534.0,32710.0,14.18,37.95,medium,Oceania
Australia,2001,46471,534.0,32710.0,18.39,37.95,medium,Oceania
Australia,2001,46471,534.0,32710.0,17.85,37.95,medium,Oceania
Australia,2002,54929,534.0,26651.0,16.63,36.37,medium,Oceania
Australia,2002,54929,534.0,26651.0,20.38,36.37,medium,Oceania
Australia,2002,54929,534.0,26651.0,12.31,36.37,medium,Oceania
Australia,2002,54929,534.0,26651.0,14.08,36.37,medium,Oceania
Australia,2002,54929,534.0,26651.0,18.93,36.37,medium,Oceania
Australia,2002,54929,534.0,26651.0,17.73,36.37,medium,Oceania
Australia,2004,56326,534.0,36276.0,16.64,36.46,medium,Oceania
Australia,2004,56326,534.0,36276.0,20.42,36.46,medium,Oceania
Australia,2004,56326,534.0,36276.0,12.35,36.46,medium,Oceania
Australia,2004,56326,534.0,36276.0,13.74,36.46,medium,Oceania
Australia,2004,56326,534.0,36276.0,18.87,36.46,medium,Oceania
Australia,2004,56326,534.0,36276.0,17.87,36.46,medium,Oceania
Australia,2005,57983,534.0,34310.0,16.93,32.05,medium,Oceania
Australia,2005,57983,534.0,34310.0,20.71,32.05,medium,Oceania
Australia,2005,57983,534.0,34310.0,12.48,32.05,medium,Oceania
Australia,2005,57983,534.0,34310.0,14.38,32.05,medium,Oceania
Australia,2005,57983,534.0,34310.0,18.26,32.05,medium,Oceania
Australia,2005,57983,534.0,34310.0,18.03,32.05,medium,Oceania
Australia,2006,53856,534.0,35900.0,16.75,31.44,medium,Oceania
Australia,2006,53856,534.0,35900.0,20.17,31.44,medium,Oceania
Australia,2006,53856,534.0,35900.0,12.51,31.44,medium,Oceania
Australia,2006,53856,534.0,35900.0,13.99,31.44,medium,Oceania
Australia,2006,53856,534.0,35900.0,18.99,31.44,medium,Oceania
Australia,2006,53856,534.0,35900.0,17.75,31.44,medium,Oceania
Australia,2007,49103,534.0,32446.25,17.49,32.44,medium,Oceania
Australia,2007,49103,534.0,32446.25,20.31,32.44,medium,Oceania
Australia,2007,49103,534.0,32446.25,12.83,32.44,medium,Oceania
Australia,2007,49103,534.0,32446.25,14.99,32.44,medium,Oceania
Australia,2007,49103,534.0,32446.25,18.84,32.44,medium,Oceania
Australia,2007,49103,534.0,32446.25,18.02,32.44,medium,Oceania
Australia,2008,56912,534.0,42935.38,16.7,30.83,high,Oceania
Australia,2008,56912,534.0,42935.38,19.79,30.83,high,Oceania
Australia,2008,56912,534.0,42935.38,12.0,30.83,high,Oceania
Australia,2008,56912,534.0,42935.38,14.11,30.83,high,Oceania
Australia,2008,56912,534.0,42935.38,18.78,30.83,high,Oceania
Australia,2008,56912,534.0,42935.38,17.32,30.83,high,Oceania
Australia,2009,58171,534.0,38065.68,17.39,27.8,medium,Oceania
Australia,2009,58171,534.0,38065.68,20.65,27.8,medium,Oceania
Australia,2009,58171,534.0,38065.68,12.87,27.8,medium,Oceania
Australia,2009,58171,534.0,38065.68,14.65,27.8,medium,Oceania
Australia,2009,58171,534.0,38065.68,19.01,27.8,medium,Oceania
Australia,2009,58171,534.0,38065.68,18.18,27.8,medium,Oceania
Australia,2010,55593,534.0,42169.39,16.72,34.03,high,Oceania
Australia,2010,55593,534.0,42169.39,20.33,34.03,high,Oceania
Australia,2010,55593,534.0,42169.39,12.37,34.03,high,Oceania
Australia,2010,55593,534.0,42169.39,14.23,34.03,high,Oceania
Australia,2010,55593,534.0,42169.39,19.09,34.03,high,Oceania
Australia,2010,55593,534.0,42169.39,18.0,34.03,high,Oceania
Australia,2011,57390,534.0,47632.99,16.9,30.83,high,Oceania
Australia,2011,57390,534.0,47632.99,19.88,30.83,high,Oceania
Australia,2011,57390,534.0,47632.99,12.16,30.83,high,Oceania
Australia,2011,57390,534.0,47632.99,14.19,30.83,high,Oceania
Australia,2011,57390,534.0,47632.99,19.99,30.83,high,Oceania
Australia,2011,57390,534.0,47632.99,17.71,30.83,high,Oceania
Australia,2012,64654,534.0,48687.88,16.84,31.64,high,Oceania
Australia,2012,64654,534.0,48687.88,20.08,31.64,high,Oceania
Australia,2012,64654,534.0,48687.88,11.79,31.64,high,Oceania
Australia,2012,64654,534.0,48687.88,14.27,31.64,high,Oceania
Australia,2012,64654,534.0,48687.88,19.55,31.64,high,Oceania
Australia,2012,64654,534.0,48687.88,17.47,31.64,high,Oceania
Australia,2013,64441,534.0,45177.18,17.39,34.79,high,Oceania
Australia,2013,64441,534.0,45177.18,20.14,34.79,high,Oceania
Australia,2013,64441,534.0,45177.18,12.19,34.79,high,Oceania
Australia,2013,64441,534.0,45177.18,14.74,34.79,high,Oceania
Australia,2013,64441,534.0,45177.18,19.98,34.79,high,Oceania
Australia,2013,64441,534.0,45177.18,18.09,34.79,high,Oceania
Austria,1990,81800,1110.0,4246.0,9.23,81.15,low,Europe
Austria,1991,84800,1110.0,4487.0,8.15,77.95,low,Europe
Austria,1992,64800,1110.0,3897.0,9.49,74.1,low,Europe
Austria,1993,89710,1110.0,3984.0,8.48,72.1,low,Europe
Austria,1994,79160,1110.0,3619.0,9.89,72.65,low,Europe
Austria,1995,85000,1110.0,3402.0,8.79,75.4,low,Europe
Austria,1996,86200,1110.0,3565.0,7.4,75.89,low,Europe
Austria,1997,97800,1110.0,3689.6,8.37,80.21,low,Europe
Austria,1998,96100,1110.0,3340.3,9.01,77.77,low,Europe
Austria,1999,96000,1110.0,3418.6,9.17,73.01,low,Europe
Austria,2000,98600,1110.0,3563.2,10.08,74.48,low,Europe
Austria,2001,90869,1110.0,3132.2,8.75,72.28,low,Europe
Austria,2002,99815,1110.0,3079.2,9.62,78.86,low,Europe
Austria,2004,96544,1110.0,3301.7,8.76,62.76,low,Europe
Austria,2005,106570,1110.0,3404.0,8.6,62.03,low,Europe
Austria,2006,96370,1110.0,3415.7,9.13,64.57,low,Europe
Austria,2007,103128,1110.0,3526.6,10.03,64.36,low,Europe
Austria,2008,113173,1110.0,4246.7,9.96,84.26,low,Europe
Austria,2009,108293,1110.0,3531.8,9.48,54.18,low,Europe
Austria,2010,97247,1110.0,3692.4,8.36,57.08,low,Europe
Austria,2011,112996,1110.0,3441.5,9.42,73.74,low,Europe
Austria,2012,107025,1110.0,3563.3,9.42,61.92,low,Europe
Austria,2013,81173,1110.0,3108.6,10.03,71.02,low,Europe
Azerbaijan,1992,18740,447.0,148.68,10.93,24.82,low,Asia
Azerbaijan,1993,13918,447.0,148.68,10.53,16.78,low,Asia
Azerbaijan,1994,14619,447.0,148.68,11.32,16.73,low,Asia
Azerbaijan,1995,11810,447.0,148.68,12.81,16.7,low,Asia
Azerbaijan,1996,17369,447.0,148.68,11.96,8.11,low,Asia
Azerbaijan,1997,24340,447.0,148.68,11.89,9.7,low,Asia
Azerbaijan,1998,29541,447.0,148.68,12.79,6.31,low,Asia
Azerbaijan,1999,35343,447.0,148.68,12.74,6.69,low,Asia
Azerbaijan,2000,32484,447.0,148.68,12.61,1.02,low,Asia
Azerbaijan,2001,37823,447.0,148.68,12.97,4.8,low,Asia
Azerbaijan,2002,43463,447.0,148.68,12.45,7.63,low,Asia
Azerbaijan,2004,46071,447.0,148.68,12.76,9.52,low,Asia
Azerbaijan,2005,47703,447.0,148.68,12.88,8.51,low,Asia
Azerbaijan,2006,45777,447.0,148.68,12.66,9.87,low,Asia
Azerbaijan,2007,46175,447.0,148.68,12.75,8.07,low,Asia
Azerbaijan,2008,47784,447.0,262.99,12.3,14.21,low,Asia
Azerbaijan,2009,47990,447.0,316.18,12.6,9.17,low,Asia
Azerbaijan,2010,45551,447.0,333.85,13.85,6.07,low,Asia
Azerbaijan,2011,45460,447.0,461.84,11.79,10.65,low,Asia
Azerbaijan,2012,51029,447.0,516.35,13.0,12.94,low,Asia
Azerbaijan,2013,53903,447.0,489.8,14.12,11.78,low,Asia
Bahamas,1992,16667,1292.0,484.59,25.1,22.22,low,America
Bahamas,1993,16000,1292.0,484.59,25.26,11.11,low,America
Bahamas,1994,17931,1292.0,484.59,25.73,12.5,low,America
Bahamas,1995,17931,1292.0,484.59,25.44,12.5,low,America
Bahamas,1996,17931,1292.0,484.59,25.06,25.0,low,America
Bahamas,1997,17400,1292.0,484.59,25.81,12.5,low,America
Bahamas,1998,19842,1292.0,484.59,25.94,12.5,low,America
Bahamas,1999,21657,1292.0,484.59,25.31,12.5,low,America
Bahamas,2000,24762,1292.0,484.59,25.16,11.11,low,America
Bahamas,2001,30000,1292.0,375.89,25.23,44.44,low,America
Bahamas,2012,73404,1292.0,268.2,25.46,63.33,low,America
Bahamas,2013,74465,1292.0,268.2,25.88,44.46,low,America
Bangladesh,1990,10015,2666.0,1266.0,25.98,62.25,low,Asia
Bangladesh,1990,10015,2666.0,1266.0,25.98,62.25,low,Asia
Bangladesh,1991,9781,2666.0,1287.0,25.85,72.59,low,Asia
Bangladesh,1991,9781,2666.0,1287.0,25.85,72.59,low,Asia
Bangladesh,1992,9319,2666.0,1453.0,25.86,79.71,low,Asia
Bangladesh,1992,9319,2666.0,1453.0,25.86,79.71,low,Asia
Bangladesh,1993,9351,2666.0,1487.0,25.73,82.93,low,Asia
Bangladesh,1993,9351,2666.0,1487.0,25.73,82.93,low,Asia
Bangladesh,1994,9042,2666.0,1594.5,25.91,91.75,low,Asia
Bangladesh,1994,9042,2666.0,1594.5,25.91,91.75,low,Asia
Bangladesh,1995,10700,2666.0,1702.0,26.09,107.48,low,Asia
Bangladesh,1995,10700,2666.0,1702.0,26.09,107.48,low,Asia
Bangladesh,1996,10166,2666.0,1919.0,26.15,114.14,low,Asia
Bangladesh,1996,10166,2666.0,1919.0,26.15,114.14,low,Asia
Bangladesh,1997,10914,2666.0,2035.0,25.55,100.01,low,Asia
Bangladesh,1997,10914,2666.0,2035.0,25.55,100.01,low,Asia
Bangladesh,1998,7339,2666.0,2068.0,26.13,99.9,low,Asia
Bangladesh,1998,7339,2666.0,2068.0,26.13,99.9,low,Asia
Bangladesh,1999,12346,2666.0,2532.0,26.31,114.19,low,Asia
Bangladesh,1999,12346,2666.0,2532.0,26.31,114.19,low,Asia
Bangladesh,2000,20597,2666.0,3170.0,25.91,113.17,low,Asia
Bangladesh,2000,20597,2666.0,3170.0,25.91,113.17,low,Asia
Bangladesh,2001,32216,2666.0,3295.78,25.93,119.76,low,Asia
Bangladesh,2001,32216,2666.0,3295.78,25.93,119.76,low,Asia
Bangladesh,2002,40349,2666.0,2954.29,26.1,123.28,low,Asia
Bangladesh,2002,40349,2666.0,2954.29,26.1,123.28,low,Asia
Bangladesh,2004,48243,2666.0,5587.81,26.14,109.37,medium,Asia
Bangladesh,2004,48243,2666.0,5587.81,26.14,109.37,medium,Asia
Bangladesh,2005,53311,2666.0,7605.01,26.19,114.03,medium,Asia
Bangladesh,2005,53311,2666.0,7605.01,26.19,114.03,medium,Asia
Bangladesh,2006,52998,2666.0,9074.43,26.44,126.6,medium,Asia
Bangladesh,2006,52998,2666.0,9074.43,26.44,126.6,medium,Asia
Bangladesh,2007,59812,2666.0,10962.31,25.95,120.99,medium,Asia
Bangladesh,2007,59812,2666.0,10962.31,25.95,120.99,medium,Asia
Bangladesh,2008,60172,2666.0,12936.5,26.0,148.73,medium,Asia
Bangladesh,2008,60172,2666.0,12936.5,26.0,148.73,medium,Asia
Bangladesh,2009,56831,2666.0,13790.09,26.54,133.72,medium,Asia
Bangladesh,2009,56831,2666.0,13790.09,26.54,133.72,medium,Asia
Bangladesh,2010,58378,2666.0,13283.72,26.65,135.03,medium,Asia
Bangladesh,2010,58378,2666.0,13283.72,26.65,135.03,medium,Asia
Bangladesh,2011,61512,2666.0,14798.28,25.8,149.49,medium,Asia
Bangladesh,2011,61512,2666.0,14798.28,25.8,149.49,medium,Asia
Bangladesh,2012,65838,2666.0,13289.18,26.28,132.6,medium,Asia
Bangladesh,2012,65838,2666.0,13289.18,26.28,132.6,medium,Asia
Bangladesh,2013,65953,2666.0,15330.16,26.59,130.67,medium,Asia
Bangladesh,2013,65953,2666.0,15330.16,26.59,130.67,medium,Asia
Belarus,1992,30000,618.0,8306.31,6.74,39.93,medium,Europe
Belarus,1993,12000,618.0,8306.31,5.61,36.33,medium,Europe
Belarus,1994,5000,618.0,8306.31,6.26,31.39,medium,Europe
Belarus,1995,24545,618.0,8306.31,6.68,36.06,medium,Europe
Belarus,1996,23000,618.0,8306.31,5.32,40.78,medium,Europe
Belarus,1997,20333,618.0,8306.31,5.98,44.31,medium,Europe
Belarus,1998,26522,618.0,8306.31,6.11,44.37,medium,Europe
Belarus,1999,26053,618.0,8306.31,7.38,45.35,medium,Europe
Belarus,2000,23077,618.0,8306.31,7.52,44.75,medium,Europe
Belarus,2001,25917,618.0,8306.31,6.71,49.29,medium,Europe
Belarus,2002,32889,618.0,8306.31,7.34,43.08,medium,Europe
Belarus,2004,35297,618.0,8306.31,6.49,61.11,medium,Europe
Belarus,2005,39965,618.0,8306.31,6.53,71.73,medium,Europe
Belarus,2006,39390,618.0,8306.31,6.6,84.67,medium,Europe
Belarus,2007,50653,618.0,8306.31,7.51,79.31,medium,Europe
Belarus,2008,43890,618.0,8306.31,7.75,92.87,medium,Europe
Belarus,2009,46818,618.0,8306.31,6.75,97.74,medium,Europe
Belarus,2010,49306,618.0,8306.31,6.71,93.67,medium,Europe
Belarus,2011,65950,618.0,8306.31,7.29,106.37,medium,Europe
Belarus,2012,50407,618.0,9578.67,6.33,98.78,medium,Europe
Belarus,2013,55656,618.0,9163.51,7.83,94.18,medium,Europe
Belgium,2002,111962,847.0,9204.0,11.44,177.11,medium,Europe
Belgium,2004,122246,847.0,9186.0,10.94,170.26,medium,Europe
Belgium,2005,116872,847.0,9776.0,11.16,167.56,medium,Europe
Belgium,2006,101929,847.0,8244.02,11.48,162.19,medium,Europe
Belgium,2007,131278,847.0,6712.05,11.52,177.56,medium,Europe
Belgium,2008,119258,847.0,6516.47,10.9,157.95,medium,Europe
