Area,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Argentina,2000,54329,591.0,63265.78,16.98
Argentina,2000,54329,591.0,63265.78,17.66
Argentina,2001,54553,591.0,63700.17,17.71
Argentina,2001,54553,591.0,63700.17,18.42
Argentina,2002,60791,591.0,64134.56,17.58
Argentina,2002,60791,591.0,64134.56,18.07
Argentina,2004,63931,591.0,65003.34,17.67
Argentina,2004,63931,591.0,65003.34,18.11
Argentina,2005,73587,591.0,65437.73,17.32
Argentina,2005,73587,591.0,65437.73,17.83
Argentina,2006,59030,591.0,65872.12,18.1
Argentina,2006,59030,591.0,65872.12,18.35
Argentina,2007,76655,591.0,81582.64,16.71
Argentina,2007,76655,591.0,81582.64,17.14
Argentina,2008,64525,591.0,87149.01,17.71
Argentina,2008,64525,591.0,87149.01,18.39
Argentina,2009,55760,591.0,61586.56,18.16
Argentina,2009,55760,591.0,61586.56,18.09
Argentina,2010,78040,591.0,105915.04,17.33
Argentina,2010,78040,591.0,105915.04,17.84
Argentina,2011,63503,591.0,100424.62,17.58
Argentina,2011,63503,591.0,100424.62,17.93
Argentina,2012,57346,591.0,136185.08,18.18
Argentina,2012,57346,591.0,136185.08,18.43
Argentina,2013,66037,591.0,171945.54,16.45
Argentina,2013,66037,591.0,171945.54,16.88
Armenia,1992,32344,562.0,8.0,7.44
Armenia,1993,32261,562.0,8.0,7.69
Armenia,1994,32667,562.0,23.0,8.84
Armenia,1995,18261,562.0,23.9,9.76
Armenia,1996,22239,562.0,32.0,9.55
Armenia,1997,45548,562.0,41.46,9.1
Armenia,1998,26082,562.0,50.92,10.28
Armenia,1999,40303,562.0,60.38,10.11
Armenia,2000,23178,562.0,69.85,9.68
Armenia,2001,37913,562.0,79.31,10.18
Armenia,2002,37380,562.0,88.77,9.41
Armenia,2004,61791,562.0,204.77,9.55
Armenia,2005,44692,562.0,220.51,9.58
Armenia,2006,33271,562.0,227.55,9.89
Armenia,2007,53262,562.0,241.71,9.44
Armenia,2008,53424,562.0,218.2,9.51
Armenia,2009,57763,562.0,198.36,9.67
Armenia,2010,46724,562.0,278.72,11.31
Armenia,2011,54257,562.0,278.72,8.93
Armenia,2012,62215,562.0,278.72,10.2
Armenia,2013,67114,562.0,278.72,11.08
Australia,1990,41821,534.0,17866.0,16.8
Australia,1990,41821,534.0,17866.0,20.06
Australia,1990,41821,534.0,17866.0,12.11
Australia,1990,41821,534.0,17866.0,14.16
Australia,1990,41821,534.0,17866.0,18.05
Australia,1990,41821,534.0,17866.0,17.47
Australia,1991,39938,534.0,17866.0,16.78
Australia,1991,39938,534.0,17866.0,20.29
Australia,1991,39938,534.0,17866.0,12.22
Australia,1991,39938,534.0,17866.0,13.77
Australia,1991,39938,534.0,17866.0,18.73
Australia,1991,39938,534.0,17866.0,17.85
Australia,1992,51721,534.0,22234.0,15.78
Australia,1992,51721,534.0,22234.0,19.79
Australia,1992,51721,534.0,22234.0,11.21
Australia,1992,51721,534.0,22234.0,13.31
Australia,1992,51721,534.0,22234.0,18.45
Australia,1992,51721,534.0,22234.0,16.89
Australia,1993,44261,534.0,23899.0,16.71
Australia,1993,44261,534.0,23899.0,20.19
Australia,1993,44261,534.0,23899.0,11.84
Australia,1993,44261,534.0,23899.0,13.81
Australia,1993,44261,534.0,23899.0,18.03
Australia,1993,44261,534.0,23899.0,17.42
Australia,1994,46620,534.0,21057.0,16.43
Australia,1994,46620,534.0,21057.0,19.59
Australia,1994,46620,534.0,21057.0,11.6
Australia,1994,46620,534.0,21057.0,13.52
Australia,1994,46620,534.0,21057.0,19.17
Australia,1994,46620,534.0,21057.0,17.36
Australia,1995,48263,534.0,25598.0,16.14
Australia,1995,48263,534.0,25598.0,20.12
Australia,1995,48263,534.0,25598.0,11.39
Australia,1995,48263,534.0,25598.0,13.14
Australia,1995,48263,534.0,25598.0,18.88
Australia,1995,48263,534.0,25598.0,16.95
Australia,1996,57689,534.0,31185.0,16.12
Australia,1996,57689,534.0,31185.0,20.06
Australia,1996,57689,534.0,31185.0,11.29
Australia,1996,57689,534.0,31185.0,13.05
Australia,1996,57689,534.0,31185.0,19.13
Australia,1996,57689,534.0,31185.0,17.05
Australia,1997,59403,534.0,34091.0,16.48
Australia,1997,59403,534.0,34091.0,20.16
Australia,1997,59403,534.0,34091.0,12.13
Australia,1997,59403,534.0,34091.0,13.93
Australia,1997,59403,534.0,34091.0,18.94
Australia,1997,59403,534.0,34091.0,17.51
Australia,1998,47544,534.0,37215.0,16.28
Australia,1998,47544,534.0,37215.0,20.62
Australia,1998,47544,534.0,37215.0,12.46
Australia,1998,47544,534.0,37215.0,13.61
Australia,1998,47544,534.0,37215.0,18.9
Australia,1998,47544,534.0,37215.0,18.05
Australia,1999,51212,534.0,34200.0,16.77
Australia,1999,51212,534.0,34200.0,19.75
Australia,1999,51212,534.0,34200.0,12.1
Australia,1999,51212,534.0,34200.0,14.2
Australia,1999,51212,534.0,34200.0,19.28
Australia,1999,51212,534.0,34200.0,17.55
Australia,2000,49360,534.0,33475.0,17.08
Australia,2000,49360,534.0,33475.0,19.89
Australia,2000,49360,534.0,33475.0,12.09
Australia,2000,49360,534.0,33475.0,14.32
Australia,2000,49360,534.0,33475.0,19.07
Australia,2000,49360,534.0,33475.0,17.57
Australia,2001,46471,534.0,32710.0,16.63
Australia,2001,46471,534.0,32710.0,20.21
Australia,2001,46471,534.0,32710.0,12.29
Australia,2001,46471,534.0,32710.0,14.18
Australia,2001,46471,534.0,32710.0,18.39
Australia,2001,46471,534.0,32710.0,17.85
Australia,2002,54929,534.0,26651.0,16.63
Australia,2002,54929,534.0,26651.0,20.38
Australia,2002,54929,534.0,26651.0,12.31
Australia,2002,54929,534.0,26651.0,14.08
Australia,2002,54929,534.0,26651.0,18.93
Australia,2002,54929,534.0,26651.0,17.73
Australia,2004,56326,534.0,36276.0,16.64
Australia,2004,56326,534.0,36276.0,20.42
Australia,2004,56326,534.0,36276.0,12.35
Australia,2004,56326,534.0,36276.0,13.74
Australia,2004,56326,534.0,36276.0,18.87
Australia,2004,56326,534.0,36276.0,17.87
Australia,2005,57983,534.0,34310.0,16.93
Australia,2005,57983,534.0,34310.0,20.71
Australia,2005,57983,534.0,34310.0,12.48
Australia,2005,57983,534.0,34310.0,14.38
Australia,2005,57983,534.0,34310.0,18.26
Australia,2005,57983,534.0,34310.0,18.03
Australia,2006,53856,534.0,35900.0,16.75
Australia,2006,53856,534.0,35900.0,20.17
Australia,2006,53856,534.0,35900.0,12.51
Australia,2006,53856,534.0,35900.0,13.99
Australia,2006,53856,534.0,35900.0,18.99
Australia,2006,53856,534.0,35900.0,17.75
Australia,2007,49103,534.0,32446.25,17.49
Australia,2007,49103,534.0,32446.25,20.31
Australia,2007,49103,534.0,32446.25,12.83
Australia,2007,49103,534.0,32446.25,14.99
Australia,2007,49103,534.0,32446.25,18.84
Australia,2007,49103,534.0,32446.25,18.02
Australia,2008,56912,534.0,42935.38,16.7
Australia,2008,56912,534.0,42935.38,19.79
Australia,2008,56912,534.0,42935.38,12.0
Australia,2008,56912,534.0,42935.38,14.11
Australia,2008,56912,534.0,42935.38,18.78
Australia,2008,56912,534.0,42935.38,17.32
Australia,2009,58171,534.0,38065.68,17.39
Australia,2009,58171,534.0,38065.68,20.65
Australia,2009,58171,534.0,38065.68,12.87
Australia,2009,58171,534.0,38065.68,14.65
Australia,2009,58171,534.0,38065.68,19.01
Australia,2009,58171,534.0,38065.68,18.18
Australia,2010,55593,534.0,42169.39,16.72
Australia,2010,55593,534.0,42169.39,20.33
Australia,2010,55593,534.0,42169.39,12.37
Australia,2010,55593,534.0,42169.39,14.23
Australia,2010,55593,534.0,42169.39,19.09
Australia,2010,55593,534.0,42169.39,18.0
Australia,2011,57390,534.0,47632.99,16.9
Australia,2011,57390,534.0,47632.99,19.88
Australia,2011,57390,534.0,47632.99,12.16
Australia,2011,57390,534.0,47632.99,14.19
Australia,2011,57390,534.0,47632.99,19.99
Australia,2011,57390,534.0,47632.99,17.71
Australia,2012,64654,534.0,48687.88,16.84
Australia,2012,64654,534.0,48687.88,20.08
Australia,2012,64654,534.0,48687.88,11.79
Australia,2012,64654,534.0,48687.88,14.27
Australia,2012,64654,534.0,48687.88,19.55
Australia,2012,64654,534.0,48687.88,17.47
Australia,2013,64441,534.0,45177.18,17.39
Australia,2013,64441,534.0,45177.18,20.14
Australia,2013,64441,534.0,45177.18,12.19
Australia,2013,64441,534.0,45177.18,14.74
Australia,2013,64441,534.0,45177.18,19.98
Australia,2013,64441,534.0,45177.18,18.09
Austria,1990,81800,1110.0,4246.0,9.23
Austria,1991,84800,1110.0,4487.0,8.15
Austria,1992,64800,1110.0,3897.0,9.49
Austria,1993,89710,1110.0,3984.0,8.48
Austria,1994,79160,1110.0,3619.0,9.89
Austria,1995,85000,1110.0,3402.0,8.79
Austria,1996,86200,1110.0,3565.0,7.4
Austria,1997,97800,1110.0,3689.6,8.37
Austria,1998,96100,1110.0,3340.3,9.01
Austria,1999,96000,1110.0,3418.6,9.17
Austria,2000,98600,1110.0,3563.2,10.08
Austria,2001,90869,1110.0,3132.2,8.75
Austria,2002,99815,1110.0,3079.2,9.62
Austria,2004,96544,1110.0,3301.7,8.76
Austria,2005,106570,1110.0,3404.0,8.6
Austria,2006,96370,1110.0,3415.7,9.13
Austria,2007,103128,1110.0,3526.6,10.03
Austria,2008,113173,1110.0,4246.7,9.96
Austria,2009,108293,1110.0,3531.8,9.48
Austria,2010,97247,1110.0,3692.4,8.36
Austria,2011,112996,1110.0,3441.5,9.42
Austria,2012,107025,1110.0,3563.3,9.42
Austria,2013,81173,1110.0,3108.6,10.03
Azerbaijan,1992,18740,447.0,148.68,10.93
Azerbaijan,1993,13918,447.0,148.68,10.53
Azerbaijan,1994,14619,447.0,148.68,11.32
Azerbaijan,1995,11810,447.0,148.68,12.81
Azerbaijan,1996,17369,447.0,148.68,11.96
Azerbaijan,1997,24340,447.0,148.68,11.89
Azerbaijan,1998,29541,447.0,148.68,12.79
Azerbaijan,1999,35343,447.0,148.68,12.74
Azerbaijan,2000,32484,447.0,148.68,12.61
Azerbaijan,2001,37823,447.0,148.68,12.97
Azerbaijan,2002,43463,447.0,148.68,12.45
Azerbaijan,2004,46071,447.0,148.68,12.76
Azerbaijan,2005,47703,447.0,148.68,12.88
Azerbaijan,2006,45777,447.0,148.68,12.66
Azerbaijan,2007,46175,447.0,148.68,12.75
Azerbaijan,2008,47784,447.0,262.99,12.3
Azerbaijan,2009,47990,447.0,316.18,12.6
Azerbaijan,2010,45551,447.0,333.85,13.85
Azerbaijan,2011,45460,447.0,461.84,11.79
Azerbaijan,2012,51029,447.0,516.35,13.0
Azerbaijan,2013,53903,447.0,489.8,14.12
Bahamas,1992,16667,1292.0,484.59,25.1
Bahamas,1993,16000,1292.0,484.59,25.26
Bahamas,1994,17931,1292.0,484.59,25.73
Bahamas,1995,17931,1292.0,484.59,25.44
Bahamas,1996,17931,1292.0,484.59,25.06
Bahamas,1997,17400,1292.0,484.59,25.81
Bahamas,1998,19842,1292.0,484.59,25.94
Bahamas,1999,21657,1292.0,484.59,25.31
Bahamas,2000,24762,1292.0,484.59,25.16
Bahamas,2001,30000,1292.0,375.89,25.23
Bahamas,2002,30500,1292.0,384.23,25.79
Bahamas,2004,35500,1292.0,269.66,25.46
Bahamas,2005,36000,1292.0,315.74,25.43
Bahamas,2006,38000,1292.0,268.2,25.34
Bahamas,2007,40000,1292.0,268.2,25.71
Bahamas,2008,47619,1292.0,268.2,25.63
Bahamas,2009,60000,1292.0,268.2,25.46
Bahamas,2010,75333,1292.0,268.2,24.77
Bahamas,2011,73085,1292.0,268.2,25.76
Bahamas,2012,73404,1292.0,268.2,25.46
Bahamas,2013,74465,1292.0,268.2,25.88
Bangladesh,1990,10015,2666.0,1266.0,25.98
Bangladesh,1990,10015,2666.0,1266.0,25.98
Bangladesh,1991,9781,2666.0,1287.0,25.85
Bangladesh,1991,9781,2666.0,1287.0,25.85
Bangladesh,1992,9319,2666.0,1453.0,25.86
Bangladesh,1992,9319,2666.0,1453.0,25.86
Bangladesh,1993,9351,2666.0,1487.0,25.73
Bangladesh,1993,9351,2666.0,1487.0,25.73
Bangladesh,1994,9042,2666.0,1594.5,25.91
Bangladesh,1994,9042,2666.0,1594.5,25.91
Bangladesh,1995,10700,2666.0,1702.0,26.09
Bangladesh,1995,10700,2666.0,1702.0,26.09
Bangladesh,1996,10166,2666.0,1919.0,26.15
Bangladesh,1996,10166,2666.0,1919.0,26.15
Bangladesh,1997,10914,2666.0,2035.0,25.55
Bangladesh,1997,10914,2666.0,2035.0,25.55
Bangladesh,1998,7339,2666.0,2068.0,26.13
Bangladesh,1998,7339,2666.0,2068.0,26.13
Bangladesh,1999,12346,2666.0,2532.0,26.31
Bangladesh,1999,12346,2666.0,2532.0,26.31
Bangladesh,2000,20597,2666.0,3170.0,25.91
Bangladesh,2000,20597,2666.0,3170.0,25.91
Bangladesh,2001,32216,2666.0,3295.78,25.93
Bangladesh,2001,32216,2666.0,3295.78,25.93
Bangladesh,2002,40349,2666.0,2954.29,26.1
Bangladesh,2002,40349,2666.0,2954.29,26.1
Bangladesh,2004,48243,2666.0,5587.81,26.14
Bangladesh,2004,48243,2666.0,5587.81,26.14
Bangladesh,2005,53311,2666.0,7605.01,26.19
Bangladesh,2005,53311,2666.0,7605.01,26.19
Bangladesh,2006,52998,2666.0,9074.43,26.44
Bangladesh,2006,52998,2666.0,9074.43,26.44
Bangladesh,2007,59812,2666.0,10962.31,25.95
Bangladesh,2007,59812,2666.0,10962.31,25.95
Bangladesh,2008,60172,2666.0,12936.5,26.0
Bangladesh,2008,60172,2666.0,12936.5,26.0
Bangladesh,2009,56831,2666.0,13790.09,26.54
Bangladesh,2009,56831,2666.0,13790.09,26.54
Bangladesh,2010,58378,2666.0,13283.72,26.65
Bangladesh,2010,58378,2666.0,13283.72,26.65
Bangladesh,2011,61512,2666.0,14798.28,25.8
Bangladesh,2011,61512,2666.0,14798.28,25.8
Bangladesh,2012,65838,2666.0,13289.18,26.28
Bangladesh,2012,65838,2666.0,13289.18,26.28
Bangladesh,2013,65953,2666.0,15330.16,26.59
Bangladesh,2013,65953,2666.0,15330.16,26.59
Belarus,1992,30000,618.0,8306.31,6.74
Belarus,1993,12000,618.0,8306.31,5.61
Belarus,1994,5000,618.0,8306.31,6.26
Belarus,1995,24545,618.0,8306.31,6.68
Belarus,1996,23000,618.0,8306.31,5.32
Belarus,1997,20333,618.0,8306.31,5.98
Belarus,1998,26522,618.0,8306.31,6.11
Belarus,1999,26053,618.0,8306.31,7.38
Belarus,2000,23077,618.0,8306.31,7.52
Belarus,2001,25917,618.0,8306.31,6.71
Belarus,2002,32889,618.0,8306.31,7.34
Belarus,2004,35297,618.0,8306.31,6.49
Belarus,2005,39965,618.0,8306.31,6.53
Belarus,2006,39390,618.0,8306.31,6.6
Belarus,2007,50653,618.0,8306.31,7.51
Belarus,2008,43890,618.0,8306.31,7.75
Belarus,2009,46818,618.0,8306.31,6.75
Belarus,2010,49306,618.0,8306.31,6.71
Belarus,2011,65950,618.0,8306.31,7.29
Belarus,2012,50407,618.0,9578.67,6.33
Belarus,2013,55656,618.0,9163.51,7.83
Belgium,2000,111006,847.0,9560.49,11.37
Belgium,2001,113522,847.0,8529.07,10.94
Belgium,2002,111962,847.0,9204.0,11.44
Belgium,2004,122246,847.0,9186.0,10.94
Belgium,2005,116872,847.0,9776.0,11.16
Belgium,2006,101929,847.0,8244.02,11.48
Belgium,2007,131278,847.0,6712.05,11.52
Belgium,2008,119258,847.0,6516.47,10.9
Belgium,2009,121174,847.0,5496.04,11.0
Belgium,2010,119283,847.0,4644.53,9.74
Belgium,2011,119360,847.0,5740.44,11.69
Belgium,2012,102438,847.0,6139.3,10.68
Belgium,2013,111500,847.0,5905.6,10.36
Botswana,1990,2899,416.0,17.0,19.54
Botswana,1991,3962,416.0,19.0,19.29
Botswana,1992,1899,416.0,17.0,20.59
Botswana,1993,1353,416.0,17.0,19.97
Botswana,1994,1698,416.0,17.0,19.26
Botswana,1995,9477,416.0,17.0,19.96
Botswana,1996,2463,416.0,17.0,19.1
Botswana,1997,2867,416.0,17.0,19.26
Botswana,1998,910,416.0,17.0,20.05
Botswana,1999,1111,416.0,17.0,20.24
Botswana,2000,1123,416.0,17.0,18.97
Botswana,2001,1992,416.0,17.0,19.36
Botswana,2002,2947,416.0,17.0,19.89
Botswana,2004,1743,416.0,17.0,19.41
Botswana,2005,2297,416.0,17.0,20.42
Botswana,2006,2511,416.0,17.0,18.97
Botswana,2007,1219,416.0,17.0,19.71
Botswana,2008,1844,416.0,17.0,19.63
Botswana,2009,2429,416.0,17.0,19.25
Botswana,2010,1617,416.0,17.0,19.98
Botswana,2011,3473,416.0,17.0,19.19
Botswana,2012,1370,416.0,17.0,19.83
Botswana,2013,849,416.0,17.0,18.69
Brazil,1990,18735,1761.0,49695.0,21.88
Brazil,1990,18735,1761.0,49695.0,20.29
Brazil,1990,18735,1761.0,49695.0,17.77
Brazil,1990,18735,1761.0,49695.0,17.77
Brazil,1990,18735,1761.0,49695.0,27.65
Brazil,1990,18735,1761.0,49695.0,20.29
Brazil,1990,18735,1761.0,49695.0,27.07
Brazil,1990,18735,1761.0,49695.0,18.47
Brazil,1990,18735,1761.0,49695.0,25.76
Brazil,1990,18735,1761.0,49695.0,24.64
Brazil,1990,18735,1761.0,49695.0,25.29
Brazil,1991,18084,1761.0,58349.44,21.43
Brazil,1991,18084,1761.0,58349.44,20.13
Brazil,1991,18084,1761.0,58349.44,17.95
Brazil,1991,18084,1761.0,58349.44,17.95
Brazil,1991,18084,1761.0,58349.44,27.34
Brazil,1991,18084,1761.0,58349.44,20.13
Brazil,1991,18084,1761.0,58349.44,27.21
Brazil,1991,18084,1761.0,58349.44,19.11
Brazil,1991,18084,1761.0,58349.44,25.57
Brazil,1991,18084,1761.0,58349.44,24.25
Brazil,1991,18084,1761.0,58349.44,25.06
Brazil,1992,22828,1761.0,67003.89,21.35
Brazil,1992,22828,1761.0,67003.89,20.21
Brazil,1992,22828,1761.0,67003.89,17.8
Brazil,1992,22828,1761.0,67003.89,17.8
Brazil,1992,22828,1761.0,67003.89,27.58
Brazil,1992,22828,1761.0,67003.89,20.21
Brazil,1992,22828,1761.0,67003.89,27.42
Brazil,1992,22828,1761.0,67003.89,18.72
Brazil,1992,22828,1761.0,67003.89,25.61
Brazil,1992,22828,1761.0,67003.89,24.24
Brazil,1992,22828,1761.0,67003.89,24.97
Brazil,1993,25321,1761.0,75658.33,21.94
Brazil,1993,25321,1761.0,75658.33,20.49
Brazil,1993,25321,1761.0,75658.33,17.93
Brazil,1993,25321,1761.0,75658.33,17.93
Brazil,1993,25321,1761.0,75658.33,28.18
Brazil,1993,25321,1761.0,75658.33,20.49
Brazil,1993,25321,1761.0,75658.33,26.89
Brazil,1993,25321,1761.0,75658.33,18.69
Brazil,1993,25321,1761.0,75658.33,26.06
Brazil,1993,25321,1761.0,75658.33,24.65
Brazil,1993,25321,1761.0,75658.33,25.41
Brazil,1994,23629,1761.0,84312.78,21.91
Brazil,1994,23629,1761.0,84312.78,20.77
Brazil,1994,23629,1761.0,84312.78,18.42
Brazil,1994,23629,1761.0,84312.78,18.42
Brazil,1994,23629,1761.0,84312.78,27.53
Brazil,1994,23629,1761.0,84312.78,20.77
Brazil,1994,23629,1761.0,84312.78,26.9
Brazil,1994,23629,1761.0,84312.78,19.15
Brazil,1994,23629,1761.0,84312.78,26.05
Brazil,1994,23629,1761.0,84312.78,24.71
Brazil,1994,23629,1761.0,84312.78,25.42
Brazil,1995,26005,1761.0,92967.22,22.07
Brazil,1995,26005,1761.0,92967.22,20.61
Brazil,1995,26005,1761.0,92967.22,18.27
Brazil,1995,26005,1761.0,92967.22,18.27
Brazil,1995,26005,1761.0,92967.22,27.52
Brazil,1995,26005,1761.0,92967.22,20.61
Brazil,1995,26005,1761.0,92967.22,27.34
Brazil,1995,26005,1761.0,92967.22,18.89
Brazil,1995,26005,1761.0,92967.22,26.05
Brazil,1995,26005,1761.0,92967.22,24.77
Brazil,1995,26005,1761.0,92967.22,25.65
Brazil,1996,24761,1761.0,101621.67,21.56
Brazil,1996,24761,1761.0,101621.67,20.18
Brazil,1996,24761,1761.0,101621.67,17.83
Brazil,1996,24761,1761.0,101621.67,17.83
Brazil,1996,24761,1761.0,101621.67,27.6
Brazil,1996,24761,1761.0,101621.67,20.18
Brazil,1996,24761,1761.0,101621.67,27.07
Brazil,1996,24761,1761.0,101621.67,18.63
Brazil,1996,24761,1761.0,101621.67,25.94
Brazil,1996,24761,1761.0,101621.67,24.28
Brazil,1996,24761,1761.0,101621.67,25.45
Brazil,1997,26228,1761.0,110276.11,21.91
Brazil,1997,26228,1761.0,110276.11,20.77
Brazil,1997,26228,1761.0,110276.11,18.36
Brazil,1997,26228,1761.0,110276.11,18.36
Brazil,1997,26228,1761.0,110276.11,27.85
Brazil,1997,26228,1761.0,110276.11,20.77
Brazil,1997,26228,1761.0,110276.11,27.57
Brazil,1997,26228,1761.0,110276.11,19.12
Brazil,1997,26228,1761.0,110276.11,25.96
Brazil,1997,26228,1761.0,110276.11,24.71
Brazil,1997,26228,1761.0,110276.11,25.2
Brazil,1998,27964,1761.0,118930.56,22.35
Brazil,1998,27964,1761.0,118930.56,20.71
Brazil,1998,27964,1761.0,118930.56,18.2
Brazil,1998,27964,1761.0,118930.56,18.2
Brazil,1998,27964,1761.0,118930.56,28.76
Brazil,1998,27964,1761.0,118930.56,20.71
Brazil,1998,27964,1761.0,118930.56,27.54
Brazil,1998,27964,1761.0,118930.56,18.49
Brazil,1998,27964,1761.0,118930.56,26.63
Brazil,1998,27964,1761.0,118930.56,24.78
Brazil,1998,27964,1761.0,118930.56,26.08
Brazil,1999,27765,1761.0,127585.0,21.59
Brazil,1999,27765,1761.0,127585.0,20.04
Brazil,1999,27765,1761.0,127585.0,17.66
Brazil,1999,27765,1761.0,127585.0,17.66
Brazil,1999,27765,1761.0,127585.0,27.64
Brazil,1999,27765,1761.0,127585.0,20.04
Brazil,1999,27765,1761.0,127585.0,26.66
Brazil,1999,27765,1761.0,127585.0,18.39
Brazil,1999,27765,1761.0,127585.0,25.88
Brazil,1999,27765,1761.0,127585.0,24.01
Brazil,1999,27765,1761.0,127585.0,25.32
Brazil,2000,27182,1761.0,140423.0,21.69
Brazil,2000,27182,1761.0,140423.0,20.32
Brazil,2000,27182,1761.0,140423.0,18.01
Brazil,2000,27182,1761.0,140423.0,18.01
Brazil,2000,27182,1761.0,140423.0,27.5
Brazil,2000,27182,1761.0,140423.0,20.32
Brazil,2000,27182,1761.0,140423.0,26.82
Brazil,2000,27182,1761.0,140423.0,18.65
Brazil,2000,27182,1761.0,140423.0,25.71
Brazil,2000,27182,1761.0,140423.0,24.36
Brazil,2000,27182,1761.0,140423.0,25.35
Brazil,2001,34019,1761.0,151523.0,22.14
Brazil,2001,34019,1761.0,151523.0,20.96
Brazil,2001,34019,1761.0,151523.0,18.67
Brazil,2001,34019,1761.0,151523.0,18.67
Brazil,2001,34019,1761.0,151523.0,27.69
Brazil,2001,34019,1761.0,151523.0,20.96
Brazil,2001,34019,1761.0,151523.0,27.08
Brazil,2001,34019,1761.0,151523.0,19.73
Brazil,2001,34019,1761.0,151523.0,26.08
Brazil,2001,34019,1761.0,151523.0,24.99
Brazil,2001,34019,1761.0,151523.0,25.59
Brazil,2002,30559,1761.0,145552.0,22.5
